1,Feature Importances
AFFILIATION_Other,0.0
AFFILIATION_Regional,0.00013362088795650695
ORGANIZATION_Corporation,0.0002687413316190261
AFFILIATION_National,0.0004227011933743589
AFFILIATION_Family/Parent,0.0005517340926194367
CLASSIFICATION_C2100,0.0017132722843138655
AFFILIATION_Independent,0.0019414151057253535
ORGANIZATION_Co-operative,0.002181471843409519
CLASSIFICATION_C3000,0.0022621793730564096
APPLICATION_TYPE_T8,0.00239337817889447
APPLICATION_TYPE_Other,0.0025933671275919007
INCOME_AMT_0,0.0037639341833827157
APPLICATION_TYPE_T3,0.005232126545494925
INCOME_AMT_ >= 1M,0.006264552554006971
INCOME_AMT_< 10k,0.006509045035759826
APPLICATION_TYPE_T7,0.007222032128784391
APPLICATION_TYPE_T19,0.007706866465919918
APPLICATION_TYPE_T4,0.008551405438767078
ORGANIZATION_Trust,0.008796128596399893
INCOME_AMT_100000-499999,0.009960235102399802
CLASSIFICATION_C1200,0.012078391102086814
INCOME_AMT_25000-99999,0.013346057519731922
CLASSIFICATION_Other,0.01578349963308743
CLASSIFICATION_C2000,0.019103892411482318
CLASSIFICATION_C1000,0.019115705887608882
APPLICATION_TYPE_T6,0.025089146984327904
ORGANIZATION_Association,0.030465197961112772
APPLICATION_TYPE_T10,0.03525320909258638
APPLICATION_TYPE_T5,0.04747201631718622
AFFILIATION_CompanySponsored,0.23051838015138637
ASK_AMT,0.4733062954699267
